id,title,main_reference_number,department_title,artist_title
23506,"Young Bull",1965.408,"Prints and Drawings","Albrecht Dürer"
23684,"The Artist's Mother",1965.510,"Prints and Drawings","Arshile Gorky"
23700,"The Praying Jew",1937.188,"Modern Art","Marc Chagall"
23972,"Virgin and Child with the Young Saint John the Baptist",1965.688,"Painting and Sculpture of Europe","Antonio da Correggio"
24306,"Blue and Green Music",1969.835,"Arts of the Americas","Georgia O'Keeffe"
24548,"Shiva as Lord of the Dance (Nataraja)",1965.1130,"Arts of Asia",
24836,"Brushstroke with Spatter",1966.3,"Contemporary Art","Roy Lichtenstein"
25332,"Triptych with Scenes from the Life of Christ",1937.827,"Painting and Sculpture of Europe",
25853,"Wine Cistern",1966.395,"Applied Arts of Europe","Francesco Durantino"
25865,"The Herring Net",1937.1039,"Arts of the Americas","Winslow Homer"
27307,"Madame de Pastoret and Her Son",1967.228,"Painting and Sculpture of Europe","Jacques Louis David"
27310,"The Holy Family with Saints Elizabeth and John the Baptist",1967.229,"Painting and Sculpture of Europe","Peter Paul Rubens"
27984,"Woman before an Aquarium",1926.220,"Modern Art","Henri Matisse"
27987,"Jacques and Berthe Lipchitz",1926.221,"Modern Art","Amedeo Modigliani"
27992,"A Sunday on La Grande Jatte — 1884",1926.224,"Painting and Sculpture of Europe","Georges Seurat"
28067,"The Old Guitarist",1926.253,"Modern Art","Pablo Picasso"
28560,"The Bedroom",1926.417,"Painting and Sculpture of Europe","Vincent van Gogh"
28849,"A City Park",1968.88,"Arts of the Americas","William Merritt Chase"
30709,"Bar-room Scene",1939.392,"Arts of the Americas","William Sidney Mount"
30839,"The Philosopher's Conquest",1939.405,"Modern Art","Giorgio de Chirico"
31285,"Portrait of Mary Adeline Williams",1939.548,"Arts of the Americas","Thomas Eakins"
34116,Cabinet,1970.404,"Applied Arts of Europe","Adam Eck"
34181,"La durée poignardée (Time Transfixed)",1970.426,"Modern Art","René Magritte"
34286,"Mirror Frame with Tree of Life Motif",1970.474,"Arts of Asia",
34299,Landscapes,1970.479,"Arts of Asia","Huang Binhong"
35198,"Miss E. Knows",1970.1014,"Contemporary Art","Jim Nutt"
35376,Equestrienne,1970.1073,"Arts of Asia",
36132,Cope,1971.312a,Textiles,
36161,"Tall Clock",1971.322,"Arts of the Americas","George Grant Elmslie"
37368,"Spanish Dancer",1971.777,"Modern Art","Natalia Goncharova"
37761,"Spoon Woman",1971.880,"Contemporary Art","Alberto Giacometti"
38930,"Two Plant Specimens",1972.325,"Photography and Media","William Henry Fox Talbot"
40619,Zapata,1941.35,"Arts of the Americas","José Clemente Orozco"
42566,"Pair of Cups",1941.701a-b,"Arts of Asia",
43060,"Incense Burner in the Form of a Duck",1941.963,"Arts of Asia",
43145,"View of Delphi with a Procession",1941.1020,"Painting and Sculpture of Europe","Claude Lorrain"
43714,"E-10: English Dining Room of the Georgian Period, 1770-90",1941.1195,"Applied Arts of Europe","Narcissa Niblack Thorne"
44018,"Croquet Scene",1942.35,"Arts of the Americas","Winslow Homer"
44741,"The Annunciation",1942.249,"Painting and Sculpture of Europe","Alessandro Vittoria"
44892,"Fish (Still Life)",1942.311,"Painting and Sculpture of Europe","Édouard Manet"
46230,"Reliquary Casket of Saints Adrian and Natalia",1943.65,"Applied Arts of Europe",
46327,"Black Cross, New Mexico",1943.95,"Arts of the Americas","Georgia O'Keeffe"
47149,Mao,1974.230,"Contemporary Art","Andy Warhol"
49195,"Maharana Bhim Singh in Procession",1975.507,"Arts of Asia",Ghasi
49686,"Portrait of Virgil Thomson",1975.677,"Arts of the Americas","Florine Stettheimer"
49691,"Bed Rug",1944.27,Textiles,"Hannah Johnson"
49702,"Richard Bill",1944.28,"Arts of the Americas","John Smibert"
49714,"The Artist Looks at Nature",1944.32,"Arts of the Americas","Charles Sheeler"
50148,"Hyères, France",1975.1134,"Photography and Media","Henri Cartier-Bresson"
50157,"Mondrian's Glasses and Pipe",1975.1137,"Photography and Media","André Kertész"
50276,"Statue of the Madonna in the Mountains",1976.22,"Prints and Drawings","Caspar David Friedrich"
50330,"Fall-Front Desk",1976.39,"Applied Arts of Europe",
50909,"Head of an Apostle",1944.413,"Painting and Sculpture of Europe",
51185,"Storage Jar with Horizontal Bands of Interlocking Scrolls",1976.307,"Arts of the Americas","Ancestral Pueblo (Anasazi)"
52560,"Corpus of Christ, from the Altarpiece of the Crucifixion",1944.1370,"Painting and Sculpture of Europe","Jacques de Baerze"
52679,"The Pheasants from the ""Verdures of the Vatican"" Series",1945.12,Textiles,"Jean-Demosthene Dugourc"
52736,"The Letter, or The Spanish Conversation",1945.32,"Prints and Drawings","Jean Honoré Fragonard"
53001,Composition,1978.404,"Modern Art","Maria Helena Vieira da Silva"
55249,"Ritual Cache",1979.17.1-11,"Arts of the Americas",Salado
55384,"Fête du Trône",1979.56,"Photography and Media","Jean-Eugène-Auguste Atget"
55706,"Cornelius Allerton",1946.394,"Arts of the Americas","Ammi Phillips"
56682,"The Rock",1956.338,"Arts of the Americas","Peter Blume"
56731,"Legends of the Yūzū Nembutsu Sect",1956.1256,"Arts of Asia",
56905,"Nocturne: Blue and Gold—Southampton Water",1900.52,"Arts of the Americas","James McNeill Whistler"
57051,"The Fountains",1900.385,"Painting and Sculpture of Europe","Hubert Robert"
57819,"Wall Clock",1975.172,"Applied Arts of Europe","Jean Pierre Latz"
58540,"Tiered Offering Mandala of the Goddess of Wealth (Vasudhara)",1979.616,"Arts of Asia",
59426,"White Crucifixion",1946.925,"Modern Art","Marc Chagall"
59787,"Mrs. Daniel Hubbard (Mary Greene)",1947.28,"Arts of the Americas","John Singleton Copley"
59847,"Cupid Chastised",1947.58,"Painting and Sculpture of Europe","Bartolomeo Manfredi"
60031,"Panorama from the Sasso",1980.190,"Prints and Drawings","Claude Lorrain"
60755,"Landscape with the Ruins of the Castle of Egmond",1947.475,"Painting and Sculpture of Europe","Jacob van Ruisdael"
60812,"Merahi metua no Tehamana (Tehamana Has Many Parents or The Ancestors of Tehamana)",1980.613,"Painting and Sculpture of Europe","Paul Gauguin"
61128,"At the Moulin Rouge",1928.610,"Painting and Sculpture of Europe","Henri de Toulouse-Lautrec"
61428,"Cow's Skull with Calico Roses",1947.712,"Arts of the Americas","Georgia O'Keeffe"
61603,"Ballet at the Paris Opéra",1981.12,"Prints and Drawings","Hilaire Germain Edgar Degas"
61608,Sunset,1981.13,"Modern Art","Paul Klee"
62042,"Still Life with Dead Game, Fruits, and Vegetables in a Market",1981.182,"Painting and Sculpture of Europe","Frans Snyders"
62371,"Madame Cezanne in a Yellow Chair",1948.54,"Painting and Sculpture of Europe","Paul Cezanne"
63178,Ceres,1981.538,"Arts of the Americas","John Bradley Storrs"
63234,"Two Ladies at the Automat (New York City)",1981.557,"Photography and Media","Diane Arbus"
63554,"Big River, from the Rancherie, Mendocino, California",1981.649,"Photography and Media","Carleton Watkins"
64276,"...And the Home of the Brave",1948.650,"Arts of the Americas","Charles Demuth"
64339,"Coffin and Mummy of Pa-ankh-en-Amun",1910.238,"Arts of Africa","Ancient Egyptian"
64724,"The Home of the Heron",1911.31,"Arts of the Americas","George Inness"
64729,"Early Morning, Tarpon Springs",1911.32,"Arts of the Americas","George Inness"
64818,"Stacks of Wheat (End of Summer)",1985.1103,"Painting and Sculpture of Europe","Claude Monet"
64884,"Mohnköpfe (Poppyheads) (Dress or Furnishing Fabric)",1986.963,Textiles,"Koloman (Kolo) Moser"
65290,"Vessel of the Dancing Lords",1986.1081,"Arts of the Americas","Ah Maxam"
65868,"Silver Sun",1949.531,"Arts of the Americas","Arthur Dove"
65916,Movements,1949.544,"Arts of the Americas","Marsden Hartley"
66039,"Head of a Woman (Fernande)",1949.584,"Modern Art","Pablo Picasso"
66434,"Georgia O'Keeffe—Hands and Thimble",1949.745,"Photography and Media","Alfred Stieglitz"
66683,"Rodin, Le Penseur",1949.825,"Photography and Media","Edward Steichen"
68769,"Londonderry Vase",1987.1,"Applied Arts of Europe","Manufacture nationale de Sèvres"
68823,"Woodman (Waldarbeiter)",1987.14,"Contemporary Art","Georg Baselitz"
69109,"Tankard (Hanap) with Tulips, Hyacinths, Roses, and Carnations",1913.342,"Arts of Asia",Islamic
69780,"The Fountain, Villa Torlonia, Frascati, Italy",1914.57,"Arts of the Americas","John Singer Sargent"
70003,"Funerary Urn (Hunping)",1987.242,"Arts of Asia",
70202,Self-Portrait,1987.280,"Prints and Drawings","Lovis Corinth"
70207,"Kneeling Figure",1950.671,"Arts of Asia",
70443,"Cravat End",1987.334,Textiles,
70739,Washbowl,1987.377,"Photography and Media","Edward Weston"
71396,"Hang Up",1988.130,"Contemporary Art","Eva Hesse"
71829,"Rock Crest/Rock Glen, Mason City, Iowa, Perspective",1988.182,"Architecture and Design","Walter Burley Griffin"
72726,"Portrait of Otto Mueller",1988.433,"Prints and Drawings","Ernst Ludwig Kirchner"
72728,Untitled,1988.434a-b,"Modern Art","Yves Tanguy"
72801,Icebound,1917.200,"Arts of the Americas","John Henry Twachtman"
73216,"Plum Vase (Maebyeong) with Clouds, Cranes, and Children Motifs",1950.1626,"Arts of Asia",
73413,"Bust of a Youth (Saint John the Baptist?)",1989.1,"Painting and Sculpture of Europe","Francesco Mochi"
73417,"The Beginning",1989.2,"Contemporary Art","Barnett Newman"
75644,"Coronation Stone of Motecuhzoma II (Stone of the Five Suns)",1990.21,"Arts of the Americas","Aztec (Mexica)"
76054,"Watchtower with Geese (Hochsitz mit Gänsen)",1990.81,"Contemporary Art","Sigmar Polke"
76240,"Carnival in Arcueil",1990.119,,"Lyonel Feininger"
76244,Excavation,1952.1,"Contemporary Art","Willem de Kooning"
76279,"Yang Pu Moving His Family",1952.9,"Arts of Asia",
76295,"Self-Portrait in a Fur Cap",1990.141,"Prints and Drawings","Joseph Wright of Derby"
76395,"Flower Clouds",1990.165,"Prints and Drawings","Odilon Redon"
76571,"View of Cotopaxi",1919.753,"Arts of the Americas","Frederic Edwin Church"
76779,"Crouching Woman",1990.226,"Prints and Drawings","Eugène Delacroix"
76816,"The Young Emperor Akbar Arrests the Insolent Shah Abu’l-Maali, Page from a Manuscript of the Akbarnama",1919.898,"Arts of Asia",Basawan
76869,"Royal Horse Inspection",1919.945,"Arts of Asia","'Aliquli Jabbadar"
79307,"Bathers by a River",1953.158,"Modern Art","Henri Matisse"
79379,"Tanktotem I",1953.193,"Contemporary Art","David Smith"
79507,"Pillars of the Country",1953.281,"Arts of Asia","Yao Shou"
79600,"The Railway Crossing (Sketch)",1953.341,"Modern Art","Fernand Léger"
80062,"Edtaonisl (Ecclesiastic)",1953.622,"Modern Art","Francis Picabia"
80084,"The Crucifixion",1954.15,"Painting and Sculpture of Europe","Francisco de Zurbarán"
80479,"Winter, from The Seasons",1954.261,Textiles,"Charles Le Brun"
80607,Self-Portrait,1954.326,"Painting and Sculpture of Europe","Vincent van Gogh"
81512,"Interrupted Reading",1922.410,"Painting and Sculpture of Europe","Jean Baptiste Camille Corot"
81558,"Acrobats at the Cirque Fernando (Francisca and Angelina Wartenberg)",1922.440,"Painting and Sculpture of Europe","Pierre-Auguste Renoir"
81564,"Husking Bee, Island of Nantucket",1922.444,"Arts of the Americas","Eastman Johnson"
83642,"Greyed Rainbow",1955.494,"Contemporary Art","Jackson Pollock"
83889,"Two Women's Torsos",1955.637,"Prints and Drawings","Willem de Kooning"
83905,"That Which I Should Have Done I Did Not Do (The Door)",1955.645,"Arts of the Americas","Ivan Albright"
84241,Self-Portrait,1955.822,"Modern Art","Max Beckmann"
84709,"Still Life with Game Fowl",1955.1203,"Painting and Sculpture of Europe","Juan Sánchez Cotán"
85533,"Feathered Tunic",1955.1789,Textiles,Chimú
86340,"Head of a Male Deity (Deva)",1924.41,"Arts of Asia",
86385,"City Landscape",1958.193,"Contemporary Art","Joan Mitchell"
86421,"Panel (Furnishing Fabric)",1924.499,Textiles,"Jean Baptiste Huet"
87045,"Still Life with Geranium",1932.1342,"Modern Art","Henri Matisse"
87163,"Fourth of July, Jay, New York",1961.942,"Photography and Media","Robert Frank"
87479,"The Assumption of the Virgin",1906.99,"Painting and Sculpture of Europe","Domenico Theotokópoulos, called El Greco"
87643,"The Two Disciples at the Tomb",1906.300,"Arts of the Americas","Henry Ossawa Tanner"
88724,"Head of a Luohan",1928.259,"Arts of Asia",
88793,"Retable and Frontal of the Life of Christ and the Virgin",1928.817,"Painting and Sculpture of Europe",
88977,"Evening Snow on a Floss Shaper (Nurioke no bosetsu), from the series ""Eight Views of the Parlor (Zashiki hakkei)""",1928.903,"Arts of Asia","Suzuki Harunobu"
89403,"Untitled #12",1979.356,"Contemporary Art","Agnes Martin"
89503,"Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series ""Thirty-Six Views of Mount Fuji (Fugaku sanjurokkei)""",1928.1086,"Arts of Asia","Katsushika Hokusai"
89856,"The actor Bando Mitsugoro II as Ishii Genzo",1940.1086,"Arts of Asia","Tōshūsai Sharaku"
90048,"Distant View of Niagara Falls",1946.396,"Arts of the Americas","Thomas Cole"
90300,"Perilous Night",1989.82,"Prints and Drawings","Jasper Johns"
90443,"Lever #1",1989.385a-b,"Contemporary Art","Martin Puryear"
90536,"Seated Female Nude",1953.38,"Prints and Drawings","Rembrandt van Rijn"
90583,"Couple in Bed",1989.435,"Contemporary Art","Philip Guston"
91194,"Golden Bird",1990.88,"Modern Art","Constantin Brancusi"
91620,"Portrait Vessel of a Ruler",1955.2338,"Arts of the Americas",Moche
93345,"Chalk-Mirror Displacement",1987.277,"Contemporary Art","Robert Smithson"
93811,"Into the World There Came a Soul Called Ida",1977.34,"Arts of the Americas","Ivan Albright"
93900,"Portrait of a Man in Costume",1977.123,"Painting and Sculpture of Europe","Jean Honoré Fragonard"
95998,"Old Man with a Gold Chain",1922.4467,"Painting and Sculpture of Europe","Rembrandt van Rijn"
97402,Minnie,1982.397,"Contemporary Art","Ed Paschke"
97910,"The Advance-Guard, or The Military Sacrifice (The Ambush)",1982.802,"Arts of the Americas","Frederic Remington"
97916,"The Bronco Buster",1982.808,"Arts of the Americas","Frederic Remington"
99539,"Helmet Mask (Mukenga)",1982.1504,"Arts of Africa",Kuba
99602,"Fragment (Hanging)",1982.1578,Textiles,Coptic
99766,"Untitled (Butterfly Habitat)",1982.1845,"Modern Art","Joseph Cornell"
100079,Untitled,1983.55,"Photography and Media","Brassaï, (Gyula Halász)"
100089,Chicago,1983.65,"Photography and Media","Harry Callahan"
100250,"Interrogation II",1983.264,"Contemporary Art","Leon Golub"
100472,"Untitled (Purple, White, and Red)",1983.509,"Contemporary Art","Mark Rothko"
100829,"Magnolias on Light Blue Velvet Cloth",1983.791,"Arts of the Americas","Martin Johnson Heade"
100858,"Sky above Clouds IV",1983.821,"Arts of the Americas","Georgia O'Keeffe"
102131,"Self-Portrait with a Visor",1984.61,"Prints and Drawings","Jean Baptiste Siméon Chardin"
102234,"American Collectors (Fred and Marcia Weisman)",1984.182,"Contemporary Art","David Hockney"
102295,Pitcher,1984.240,"Arts of the Americas","Edward C. Moore"
102591,"Bust of Paris",1984.530,"Painting and Sculpture of Europe","Antonio Canova"
102611,"Veranda Post (Òpó Ògògá)",1984.550,"Arts of Africa","Olowe of Ise"
102963,"The Titanic",1984.802,"Architecture and Design","Stanley Tigerman"
103347,"Bureau Table",1984.1387,"Arts of the Americas","John Townsend"
103887,"A Young Lady with a Parrot",1985.40,"Prints and Drawings","Rosalba Carriera"
103943,"Manxman Piano",1985.99,"Applied Arts of Europe","Mackay Hugh Baillie Scott"
104031,"The Shelton with Sunspots, N.Y.",1985.206,"Arts of the Americas","Georgia O'Keeffe"
104043,"Club de Centre Rural: Perspective Sketch",1985.218,"Architecture and Design","Le Corbusier (Charles-Édouard Jeanneret)"
104094,"General Andrew Jackson",1985.251,"Arts of the Americas","William Rush"
105073,"The Creation of Adam",1985.1113,"Prints and Drawings","Giovanni Benedetto Castiglione"
105105,Cabinet,1986.26,"Arts of the Americas","Herter Brothers"
105203,"Triptych Window from the Coonley Playhouse, Riverside, Illinois",1986.88,"Architecture and Design","Frank Lloyd Wright"
105466,"The Battle between the Gods and the Giants",1986.426,"Painting and Sculpture of Europe","Joachim Antonisz. Wtewael"
105800,"Train Station",1990.134,"Arts of the Americas","Walter Ellison"
106538,"Two-Handled Covered Cup",1984.1132,"Arts of the Americas","Cornelius Kierstede"
107069,"TAKEN FROM HERE TO WHERE IT CAME FROM AND TAKEN TO A PLACE AND USED IN SUCH A MANNER THAT IT CAN ONLY REMAIN AS A REPRESENTATION OF WHAT IT WAS WHERE IT CAME FROM",1982.402,"Contemporary Art","Lawrence Weiner"
107300,"Tall-Case Clock",1983.37,"Applied Arts of Europe","Josef Hoffmann"
109275,"Mother and Child",1954.270,"Modern Art","Pablo Picasso"
109330,"Little Harbor in Normandy",1970.98,"Modern Art","Georges Braque"
109439,"America Windows",1977.938,"Modern Art","Marc Chagall"
109686,"Waters Above the Firmament",1983.203,Textiles,"Lenore Tawney"
109780,"Love of Winter",1914.1018,"Arts of the Americas","George Wesley Bellows"
109819,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",1957.307,"Modern Art","Piet Mondrian"
109926,"Landscape: Window Overlooking the Woods",1981.77,"Painting and Sculpture of Europe","Édouard Jean Vuillard"
110507,"In the Sea",1990.443,"Painting and Sculpture of Europe","Arnold Böcklin"
110634,"Untitled #88",1988.118,,"Cindy Sherman"
110663,"The Combat of the Giaour and Hassan",1962.966,"Painting and Sculpture of Europe","Eugène Delacroix"
110881,"The Road to Calvary",1958.299,"Prints and Drawings","Master of the Housebook"
111060,"Daniel-Henry Kahnweiler",1948.561,"Modern Art","Pablo Picasso"
111164,"Green and Blue: The Dancer",1988.219,"Prints and Drawings","James McNeill Whistler"
111317,"Amédée-David, the Comte de Pastoret",1971.452,"Painting and Sculpture of Europe","Jean Auguste Dominique Ingres"
111377,"For Sunday's Dinner",1958.296,"Arts of the Americas","William Michael Harnett"
111380,"Seated Bodhisattva",1962.356,"Arts of Asia",
111400,Samovar,1989.154a-e,"Applied Arts of Europe","Henry van de Velde"
111401,"Female Caryatid Drum (Pinge)",1990.137,"Arts of Africa",Senufo
111436,"The Basket of Apples",1926.252,"Painting and Sculpture of Europe","Paul Cezanne"
111442,"The Child's Bath",1910.2,"Arts of the Americas","Mary Cassatt"
111559,"Boy on a Ram",1979.479,"Painting and Sculpture of Europe","Francisco José de Goya y Lucientes"
111610,"The Garden of Palazzo Contarini dal Zaffo",1991.112,"Painting and Sculpture of Europe","Francesco Guardi"
111617,"Cabin in the Cotton",1990.417,"Arts of the Americas","Horace Pippin"
111628,Nighthawks,1942.51,"Arts of the Americas","Edward Hopper"
111642,"The Awakening of the Forest",1991.290,"Modern Art","Paul Delvaux"
111654,"The Policeman",1991.1499,"Modern Art","Joan Miró"
111810,"Harvest Talk",1991.126,"Prints and Drawings","Charles White"
112092,"Portions of a Jousting Helmet",1982.2493,"Applied Arts of Europe",
117188,"The Earth Is a Man",1992.168,"Modern Art",Matta
117266,Nightlife,1992.89,"Arts of the Americas","Archibald John Motley Jr."
117271,"Art Institute of Chicago II, Chicago",1991.28,"Contemporary Art","Thomas Struth"
118661,"Juan Soriano De Lacandón",2018.285,"Modern Art","Leonora Carrington"
118746,"Interrelation of Volumes from the Ellipsoid",2004.245,"Modern Art","Georges Vantongerloo"
119454,Untitled,1992.100,"Photography and Media","El Lissitzky"
119521,"Landscape at L'Estaque",1981.65,"Modern Art","Georges Braque"
120154,"Still Life—Strawberries, Nuts, &c.",1991.100,"Arts of the Americas","Raphaelle Peale"
122054,"Alka Seltzer",1993.176,"Prints and Drawings","Roy Lichtenstein"
125660,"The Wedding",1993.258,"Arts of the Americas","Jacob Lawrence"
126981,"Gaming Set",1993.349,"Applied Arts of Europe","Du Paquier Porcelain Manufactory"
127644,"Autumn Maples with Poem Slips",1977.157,"Arts of Asia","Tosa Mitsuoki"
127859,"Stela of Amenemhat and Hemet",1920.262,"Arts of Africa","Ancient Egyptian"
129884,"Starry Night and the Astronauts",1994.36,"Contemporary Art","Alma Thomas"
131385,"Black and White",1994.245,"Prints and Drawings","Lee Krasner"
131541,"System of Architectural Ornament, Plate 16, Impromptu!",1988.15.16,"Architecture and Design","Louis H. Sullivan"
135430,"Weeping Woman I",1994.707,"Prints and Drawings","Pablo Picasso"
137125,"Many Mansions",1995.147,"Contemporary Art","Kerry James Marshall"
140645,"Night Sky #2",1995.240,"Contemporary Art","Vija Celmins"
142526,"Milarepa on Mount Kailash",1995.277,"Arts of Asia",
144272,"Mr. and Mrs. Herbert A. Jacobs House, Middleton, Wisconsin, Perspective",1992.75.1,"Architecture and Design","Frank Lloyd Wright"
144361,"Earthly Paradise",1996.47,"Modern Art","Pierre Bonnard"
144969,"The Interior of the Palm House on the Pfaueninsel Near Potsdam",1996.388,"Painting and Sculpture of Europe","Carl Blechen"
145681,"Frederick Douglass",1996.433,"Photography and Media","Samuel J. Miller"
146701,"Mountain Brook",1997.365,"Arts of the Americas","Albert Bierstadt"
146905,"Explosion at Sea",1997.138,"Contemporary Art","Vija Celmins"
146953,"Two Cows and a Young Bull beside a Fence in a Meadow",1997.336,"Painting and Sculpture of Europe","Paulus Potter"
146988,Rodeo,1997.160,"Contemporary Art","Brice Marden"
146989,"Clown Torture",1997.162,"Contemporary Art","Bruce Nauman"
146991,PH-774,1997.164,"Contemporary Art","Clyfford Still"
147003,"Woman Descending the Staircase (Frau die Treppe herabgehend)",1997.176,"Contemporary Art","Gerhard Richter"
147508,"Oil or Vinegar Cruet",1998.504a-b,"Applied Arts of Europe","Meissen Porcelain Manufactory"
147513,"Human Nature/Life Death",2004.151a-b,"Contemporary Art","Bruce Nauman"
148412,"Corner Cabinet",1997.694,"Applied Arts of Europe","Jacques-Émile Ruhlmann"
149681,"Fragment (Dress Fabric)",1998.3,Textiles,
149776,"The Freedman",1998.1,"Arts of the Americas","John Quincy Adams Ward"
